File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
Random5_1_600,8749,1,600,10 states,8 symbols,10065,6,0,4543,8,0,0,0,508.0348,11,10,50952,1365811,SAT,145.2766,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,50952,1365811,SAT,132.2366,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random5_5_600,4407,5,600,10 states,8 symbols,10089,6,0,4412,8,0,0,0,493.8308,11,10,49511,1326773,SAT,119.9849,2400,2400,1653,2385,15,747,0.99,0.69,0.99,0.8,0.8,0.8,0.925,100.0,0.0,,11,10,49511,1326773,SAT,121.6100,2400,2400,2216,2393,7,184,1.00,0.92,1.00,1.00,1.00,1.00,0.975
Random5_3_600,9653,3,600,10 states,8 symbols,10109,6,0,4393,8,0,0,0,514.2041,11,10,49302,1321111,SAT,130.3998,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,49302,1321111,SAT,132.2729,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random5_9_600,2895,9,600,10 states,8 symbols,10121,6,0,4404,8,0,0,0,513.9151,11,10,49423,1324389,SAT,130.297,2400,2400,2400,2374,26,0,0.99,1.0,0.99,1.0,1.0,1.0,0.975,100.0,0.0,,11,10,49423,1324389,SAT,120.3394,2400,2400,2400,2374,26,0,0.99,1.00,0.99,1.00,1.00,1.00,0.975
Random5_7_600,5161,7,600,10 states,8 symbols,10091,6,0,4550,8,0,0,0,484.7334,11,10,51029,1367897,SAT,94.5955,2400,2400,2163,2364,36,237,0.98,0.9,0.98,0.9,0.9,0.9,0.975,100.0,0.0,,11,10,51029,1367897,SAT,92.2251,2400,2400,2163,2364,36,237,0.98,0.90,0.98,0.90,0.90,0.90,0.975
Random5_2_600,8637,2,600,10 states,8 symbols,10077,5,0,4844,8,0,0,0,458.8057,11,10,54263,1455267,SAT,114.6827,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,54263,1455267,SAT,209.9959,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random5_4_600,1794,4,600,10 states,8 symbols,10160,6,0,4723,8,0,0,0,474.7617,11,10,52932,1419451,SAT,111.6157,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,52932,1419451,SAT,140.3493,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random5_6_600,9955,6,600,10 states,8 symbols,10170,6,0,5073,8,0,0,0,521.5655,11,10,56782,1523751,SAT,138.3535,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,56782,1523751,SAT,137.8261,2400,2400,2087,2400,0,313,1.00,0.87,1.00,0.90,0.90,0.90,0.975
Random5_8_600,6523,8,600,10 states,8 symbols,10064,6,0,4523,8,0,0,0,444.1205,11,10,50732,1359851,SAT,127.1326,2400,2400,2400,2400,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,,11,10,50732,1359851,SAT,111.6357,2400,2400,2400,2400,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.0
Random5_0_600,6481,0,600,10 states,8 symbols,10084,5,0,5017,8,0,0,0,443.5815,11,10,56166,1506821,SAT,132.2039,2400,2400,1685,2375,25,715,0.99,0.7,0.99,0.8,0.8,0.8,0.95,100.0,0.0,,11,10,56166,1506821,SAT,118.7347,2400,2400,1685,2375,25,715,0.99,0.70,0.99,0.80,0.80,0.80,0.95
