File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_1_37,7193,1,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.7091,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,9,179,1,171,0.90,0.05,0.99,0.10,0.50,0.50
TCP_0_37,9654,0,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,37.0874,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,5,180,0,175,1.00,0.03,1.00,0.10,0.50,0.50
TCP_8_37,6797,8,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.8837,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,8,179,1,172,0.89,0.04,0.99,0.10,0.50,0.50
TCP_2_37,6887,2,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.3036,180,180,2,180,0,178,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,9,180,0,171,1.00,0.05,1.00,0.10,0.50,0.50
TCP_9_37,250,9,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.869,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,15,180,0,165,1.00,0.08,1.00,0.20,0.50,0.50
TCP_7_37,5209,7,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.1063,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,8,179,1,172,0.89,0.04,0.99,0.10,0.50,0.50
TCP_6_37,3237,6,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.9808,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,13,180,0,167,1.00,0.07,1.00,0.10,0.50,0.50
TCP_5_37,1923,5,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.4073,180,180,0,179,1,180,0.0,0.0,0.99,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,9,178,2,171,0.82,0.05,0.99,0.10,0.50,0.50
TCP_4_37,5450,4,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.6042,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,11,178,2,169,0.85,0.06,0.99,0.10,0.50,0.50
TCP_3_37,8776,3,37,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.3399,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,3,177,3,177,0.50,0.02,0.98,0.00,0.50,0.50
