File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2
TCP_3_9,8776,3,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.4026,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,3,177,3,177,0.50,0.02,0.98,0.00,0.50,0.50
TCP_4_9,5450,4,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.3075,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,11,178,2,169,0.85,0.06,0.99,0.10,0.50,0.50
TCP_8_9,6797,8,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,34.35,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,8,179,1,172,0.89,0.04,0.99,0.10,0.50,0.50
TCP_9_9,250,9,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.8257,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,15,180,0,165,1.00,0.08,1.00,0.20,0.50,0.50
TCP_6_9,3237,6,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,32.98,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,13,180,0,167,1.00,0.07,1.00,0.10,0.50,0.50
TCP_1_9,7193,1,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,36.0385,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,9,179,1,171,0.90,0.05,0.99,0.10,0.50,0.50
TCP_2_9,6887,2,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.1039,180,180,2,180,0,178,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,9,180,0,171,1.00,0.05,1.00,0.10,0.50,0.50
TCP_5_9,1923,5,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.1519,180,180,0,179,1,180,0.0,0.0,0.99,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,9,178,2,171,0.82,0.05,0.99,0.10,0.50,0.50
TCP_0_9,9654,0,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,35.0958,180,180,1,180,0,179,1.0,0.01,1.0,0.0,0.5,0.5,0.1585137085137085,43.04,180,180,5,180,0,175,1.00,0.03,1.00,0.10,0.50,0.50
TCP_7_9,5209,7,9,14 states,28 symbols,625,68,90,41,28,17247,28,0,33.2001,180,180,0,180,0,180,0.0,0.0,0.0,0.0,0.5,0.0,0.1585137085137085,43.04,180,180,8,179,1,172,0.89,0.04,0.99,0.10,0.50,0.50
